Treatment1,Treatment2,Treatment3,Treatment4,Treatment5,Treatment6,Treatment7,WaterRetention
0,1,1,1,0,1,1,-47480
0,1,1,1,0,0,0,-37057
1,0,0,1,0,1,1,-152583
0,0,1,1,0,1,1,-29078
0,1,0,1,1,1,1,-37072
0,0,0,1,1,1,1,-4460
0,1,1,1,0,1,1,-3788
0,1,0,0,1,1,0,-13419
0,1,1,1,0,0,1,-13341
0,0,1,1,0,1,0,-33303
0,1,0,1,1,1,1,-19889
0,1,1,1,0,1,1,-1499
0,1,1,0,0,1,1,-68578
0,1,1,1,0,1,1,-3775
0,1,1,1,1,1,0,-41497
0,0,1,1,0,1,1,-5070
0,1,0,1,0,1,1,-30135
0,1,0,1,1,1,1,-21684
0,1,1,1,1,1,1,-22607
0,1,1,1,1,1,1,-1429
0,1,1,1,1,1,1,-43492
0,1,1,1,1,1,1,-50488
0,0,1,1,1,1,1,-26425
0,1,1,1,1,1,1,-4291
0,1,1,1,1,1,1,-5405
0,1,1,1,1,1,1,-2031
0,0,1,1,1,1,1,-37800
0,1,1,1,1,1,1,-15883
0,1,1,1,1,1,1,-40530
0,1,1,1,1,1,1,-11321
0,1,1,1,1,1,1,-20116
0,1,1,1,1,1,1,-21411
0,1,1,1,1,1,1,-23783
0,0,0,0,1,1,1,-20899
0,1,1,1,1,1,1,-37026
0,1,1,1,1,1,1,-33689
0,1,1,1,1,1,1,-11658
0,1,1,1,1,1,1,-38438
0,1,1,1,1,1,1,-18961
0,1,1,1,1,1,1,-14299
0,1,1,1,1,1,1,-13586
0,1,1,1,1,1,1,-9145
0,1,1,1,1,1,1,-52431
0,1,1,1,1,1,1,-17975
0,1,1,1,1,1,1,-22144
0,1,1,1,1,1,1,-29906
0,1,1,1,1,1,1,-20596
0,1,1,1,1,1,1,-26198
0,1,1,1,1,1,1,-10181
0,1,0,1,1,1,1,-10482
0,1,1,1,1,1,1,-11475
0,0,0,0,1,1,1,-27984
0,1,1,1,1,1,1,-51303
0,1,1,1,1,1,1,-42566
0,0,0,0,1,1,1,-391
0,1,1,1,1,1,1,-31181
0,0,0,0,1,1,1,-14516
0,1,1,1,1,1,1,-9404
0,1,1,1,1,1,1,-5174
0,0,0,0,1,1,1,-16372
0,1,1,1,1,1,1,-12433
0,1,0,1,1,1,1,-865
0,1,0,1,1,1,1,-6543
0,1,1,1,1,1,1,-46277
0,1,1,1,1,1,1,-20789
0,1,1,1,1,1,1,-3025
0,1,1,1,1,1,1,-12181
1,1,1,1,1,1,1,-36589
0,0,0,1,1,1,1,-11027
0,1,1,1,1,1,1,-31627
0,0,0,1,1,1,1,-17293
1,1,1,1,1,1,1,-60363
0,0,1,1,1,1,1,-11929
0,1,0,1,1,1,1,-9593
0,1,1,1,1,1,1,-40501
0,1,1,1,1,1,1,-18252
0,0,0,1,1,1,1,-8622
0,1,1,1,1,1,1,-877
0,1,1,1,1,1,1,-112256
0,1,1,1,1,1,1,-7200
0,1,1,1,0,0,0,-64155
0,0,1,1,0,1,1,-22415
0,1,1,0,0,1,0,-14003
0,0,1,1,1,1,1,-7715
0,0,1,1,0,0,1,-6672
0,0,1,1,0,0,0,-2543
0,1,1,1,0,1,1,-1877
0,1,1,1,0,0,1,-3180
0,0,1,1,1,1,1,-14543
0,1,1,1,0,1,1,-26021
0,0,1,1,1,1,1,-32767
0,1,0,0,0,1,0,-6537
0,1,0,0,0,1,1,-1314
0,1,1,0,0,1,1,-23003
0,1,1,0,0,1,1,-11826
0,0,0,1,0,1,1,-630
0,0,0,1,0,1,1,-113297
1,0,1,1,0,1,1,-4621
0,1,0,1,1,1,1,-20593
0,1,1,1,0,1,1,-31155
0,1,1,1,0,1,1,-18182
0,1,1,1,1,1,1,-24322

