Treatment1,Treatment2,Treatment3,Treatment4,Treatment5,Treatment6,Treatment7,WaterRetention
0,1,1,1,0,0,0,-16987
0,1,1,0,0,1,1,-34494
1,0,0,1,0,1,1,-72773
0,1,0,1,1,1,1,-15272
0,0,0,1,1,1,1,-5067
0,1,0,0,1,1,0,-7940
0,1,1,0,0,1,1,-9558
0,1,1,1,0,1,1,-160
0,1,0,1,0,1,1,-12537
0,1,0,1,1,1,1,-9317
0,1,1,1,1,1,1,-15091
0,1,1,1,1,1,1,-38512
0,1,1,1,1,1,1,-306
0,0,1,1,1,1,1,-939
0,1,1,1,1,1,1,-9961
0,1,1,1,1,1,1,-2434
0,0,0,0,1,1,1,-12324
0,1,1,1,1,1,1,-5215
0,1,1,1,1,1,1,-3766
0,1,1,1,1,1,1,-16801
0,1,1,1,1,1,1,-7036
0,1,1,1,1,1,1,-6424
0,1,1,1,1,1,1,-7847
0,0,0,0,1,1,1,-7207
0,1,1,1,1,1,1,-8514
0,0,1,1,1,1,1,-29851
0,0,0,0,1,1,1,-6431
0,1,1,1,1,1,1,-3093
0,1,0,1,1,1,1,-301
0,1,0,1,1,1,1,-7264
0,1,1,1,1,1,1,-6277
0,1,1,1,1,1,1,-3399
1,1,1,1,1,1,1,-35008
0,0,0,1,1,1,1,-837
0,1,1,1,1,1,1,-398
1,1,1,1,1,1,1,-24827
0,1,0,1,1,1,1,-1678
0,1,1,1,1,1,1,-7667
0,0,0,1,1,1,1,-5720
0,1,1,1,1,1,1,-8911
0,1,1,1,1,1,1,-22640
0,1,1,1,1,1,1,-4176
0,1,1,0,0,1,0,-7837
0,0,1,1,0,0,0,-899
0,0,1,1,1,1,1,-23456
0,1,1,1,0,1,1,-21772
0,0,1,1,1,1,1,-23821
0,1,0,0,0,1,0,-693
0,1,0,0,0,1,1,-118
0,1,1,0,0,1,1,-4148
